year,horizon,config,term,coef,selected
2024,4h,poly2_stlsq_002,ret_2 ewma_ret_20,0.026703025105689365,True
2024,4h,poly2_stlsq_002,ret_2 slope_10,0.4178671543545899,True
2024,4h,poly2_stlsq_002,ret_2 slope_20,0.0,False
2024,4h,poly2_stlsq_002,ret_3^2,0.0,False
2024,4h,poly2_stlsq_002,ret_3 ret_5,0.0,False
2024,4h,poly2_stlsq_002,ret_3 ret_10,-0.37610907962624585,True
2024,4h,poly2_stlsq_002,ret_3 ewma_ret_5,-0.9396852116312581,True
2024,4h,poly2_stlsq_002,ret_3 ewma_ret_10,1.326525958341851,True
2024,4h,poly2_stlsq_002,ret_3 ewma_ret_20,-0.3595209647880082,True
2024,4h,poly2_stlsq_002,ret_3 slope_10,0.0,False
2024,4h,poly2_stlsq_002,ret_3 slope_20,-0.02615113419191649,True
2024,4h,poly2_stlsq_002,ret_5^2,0.04915928507612022,True
2024,4h,poly2_stlsq_002,ret_5 ret_10,-0.0978285959112763,True
2024,4h,poly2_stlsq_002,ret_5 ewma_ret_5,-1.0363776781155316,True
2024,4h,poly2_stlsq_002,ret_5 ewma_ret_10,0.7639452710562952,True
2024,4h,poly2_stlsq_002,ret_5 ewma_ret_20,-0.19502692799274518,True
2024,4h,poly2_stlsq_002,ret_5 slope_10,0.09042708413204358,True
2024,4h,poly2_stlsq_002,ret_5 slope_20,0.02072382685552232,True
2024,4h,poly2_stlsq_002,ret_10^2,0.3809457643023755,True
2024,4h,poly2_stlsq_002,ret_10 ewma_ret_5,0.4896413726180403,True
2024,4h,poly2_stlsq_002,ret_10 ewma_ret_10,-1.8725594553352742,True
2024,4h,poly2_stlsq_002,ret_10 ewma_ret_20,0.6588028266858988,True
2024,4h,poly2_stlsq_002,ret_10 slope_10,0.6969261562173155,True
2024,4h,poly2_stlsq_002,ret_10 slope_20,0.10210290003573208,True
2024,4h,poly2_stlsq_002,ewma_ret_5^2,2.9978520766614873,True
2024,4h,poly2_stlsq_002,ewma_ret_5 ewma_ret_10,-3.08542186470186,True
2024,4h,poly2_stlsq_002,ewma_ret_5 ewma_ret_20,0.8269049866984788,True
2024,4h,poly2_stlsq_002,ewma_ret_5 slope_10,-0.43557476809657725,True
2024,4h,poly2_stlsq_002,ewma_ret_5 slope_20,0.12493072404234895,True
2024,4h,poly2_stlsq_002,ewma_ret_10^2,2.8702659377499873,True
2024,4h,poly2_stlsq_002,ewma_ret_10 ewma_ret_20,-2.3573632290783633,True
2024,4h,poly2_stlsq_002,ewma_ret_10 slope_10,-1.4327728374764346,True
2024,4h,poly2_stlsq_002,ewma_ret_10 slope_20,-0.4630273660279747,True
2024,4h,poly2_stlsq_002,ewma_ret_20^2,0.5142961004124722,True
2024,4h,poly2_stlsq_002,ewma_ret_20 slope_10,0.568772949513269,True
2024,4h,poly2_stlsq_002,ewma_ret_20 slope_20,0.19443471426821302,True
2024,4h,poly2_stlsq_002,slope_10^2,0.2752012730936456,True
2024,4h,poly2_stlsq_002,slope_10 slope_20,0.0852281202686922,True
2024,4h,poly2_stlsq_002,slope_20^2,0.0,False
2025,4h,poly2_stlsq_002,1,0.0,False
