threshold,alpha,n_active,n_bias,n_linear,n_quadratic,n_interaction,train_rmse,train_spearman,train_r2,test_rmse,test_mae,test_spearman,test_pearson,test_directional,test_r2
0.05,0.001,52,0,4,9,39,0.9633112694074959,0.0891790669255373,0.009464264139845024,1.029747538768779,0.8849706430630074,-0.021478269318340862,-0.03610976539869717,0.49343339587242024,-0.01629350149814024
0.05,0.005,50,0,4,9,37,0.9633210554657089,0.08940859422842655,0.009444138786975587,1.029709287049564,0.884854845996823,-0.020886586261382532,-0.03565137905821593,0.4971857410881801,-0.01621799900814702
0.05,0.01,50,0,4,9,37,0.9633341937867106,0.0891704120849268,0.009417119073145575,1.0297077189141832,0.8847889386528409,-0.020857263634664797,-0.035901949680883,0.49906191369606,-0.01621490383127444
0.05,0.05,45,0,4,8,33,0.9633916886073075,0.08992231582091806,0.009298873328374091,1.0298314610200772,0.8850310476361314,-0.02554991416395406,-0.03827256662780479,0.49906191369606,-0.01645915979957291
0.05,0.1,44,0,4,8,32,0.9634332044564808,0.09010990250575071,0.009213486075714594,1.0303093326919213,0.8855893914819649,-0.03312783191192561,-0.0466095687776105,0.5046904315196998,-0.017402711738860877
0.05,0.5,39,0,4,7,28,0.9640250733017656,0.08393669171327002,0.007995766373993352,1.0307741045764132,0.886867822316436,-0.05114135550736782,-0.06400641172038195,0.4709193245778612,-0.018320818202768097
0.05,1.0,7,0,4,2,1,0.9661684016840588,0.05798685547737124,0.003579793219596117,1.0267747000786638,0.8841898609987585,-0.012381439506390828,-0.03631378680139556,0.5046904315196998,-0.010433976949391965
0.1,0.0001,41,0,0,9,32,0.9646714837791825,0.06671104880826047,0.006664977507787717,1.0293690776168187,0.8843439420221955,-0.04252723953146564,-0.06169088788781305,0.474671669793621,-0.015546605945391478
0.1,0.001,41,0,0,9,32,0.9646714837791825,0.06671104880826047,0.006664977507787717,1.0293690776168187,0.8843439420221955,-0.04252723953146564,-0.06169088788781305,0.474671669793621,-0.015546605945391478
0.1,0.005,41,0,0,9,32,0.9646714837791825,0.06671104880826047,0.006664977507787717,1.0293690776168187,0.8843439420221955,-0.04252723953146564,-0.06169088788781305,0.474671669793621,-0.015546605945391478
0.1,0.01,41,0,0,9,32,0.9646714837791825,0.06671104880826047,0.006664977507787717,1.0293690776168187,0.8843439420221955,-0.04252723953146564,-0.06169088788781305,0.474671669793621,-0.015546605945391478
0.1,0.05,36,0,0,8,28,0.9649352768566368,0.0683041695743726,0.006121640767452474,1.02961455575364,0.8851882421209268,-0.08392619193703846,-0.07470584041364867,0.4540337711069418,-0.01603102736289208
0.1,0.1,35,0,0,7,28,0.9650279858710202,0.07011787605553317,0.005930651979511037,1.0296387114101457,0.8852453408038242,-0.06810853683104193,-0.07830991615257449,0.45778611632270166,-0.0160787018722659
0.1,0.5,0,0,0,0,0,0.9679178991196462,,-3.202617282127562e-05,1.0239850839395888,0.8810076330272716,,,0.0,-0.0049509944145063045
0.1,1.0,0,0,0,0,0,0.9679178991196462,,-3.202617282127562e-05,1.0239850839395888,0.8810076330272716,,,0.0,-0.0049509944145063045
